disease,symptom_1,symptom_2,symptom_3,symptom_4
lao,sốt nhẹ,đổ mồ hôi ban đêm,sút cân,ho
lao,sốt nhẹ,sút cân,ho,đổ mồ hôi ban đêm
lao,sốt nhẹ,sút cân,đổ mồ hôi ban đêm,ho
lao,ho,đổ mồ hôi ban đêm,khó thở,sốt nhẹ
lao,ho,đổ mồ hôi ban đêm,sốt nhẹ,khó thở
lao,ho,khó thở,đổ mồ hôi ban đêm,sốt nhẹ
lao,ho,khó thở,sốt nhẹ,đổ mồ hôi ban đêm
cảm lạnh,ho,nghẹt mũi,đau họng,mệt mỏi
cảm lạnh,ho,nghẹt mũi,mệt mỏi,đau họng
cảm lạnh,ho,đau họng,nghẹt mũi,mệt mỏi
cảm lạnh,ho,đau họng,mệt mỏi,nghẹt mũi
cảm lạnh,ho,mệt mỏi,nghẹt mũi,đau họng
cảm lạnh,ho,mệt mỏi,đau họng,nghẹt mũi
cảm lạnh,nghẹt mũi,ho,đau họng,mệt mỏi
cảm lạnh,nghẹt mũi,ho,mệt mỏi,đau họng
cảm lạnh,nghẹt mũi,đau họng,ho,mệt mỏi
cảm lạnh,nghẹt mũi,đau họng,mệt mỏi,ho
cảm lạnh,nghẹt mũi,mệt mỏi,ho,đau họng
cảm lạnh,nghẹt mũi,mệt mỏi,đau họng,ho
cảm lạnh,đau họng,ho,nghẹt mũi,mệt mỏi
cảm lạnh,đau họng,ho,mệt mỏi,nghẹt mũi
cảm lạnh,đau họng,nghẹt mũi,ho,mệt mỏi
cảm lạnh,đau họng,nghẹt mũi,mệt mỏi,ho
cảm lạnh,đau họng,mệt mỏi,ho,nghẹt mũi
cảm lạnh,đau họng,mệt mỏi,nghẹt mũi,ho
cảm lạnh,mệt mỏi,ho,nghẹt mũi,đau họng
cảm lạnh,mệt mỏi,ho,đau họng,nghẹt mũi
cảm lạnh,mệt mỏi,nghẹt mũi,ho,đau họng
cảm lạnh,mệt mỏi,nghẹt mũi,đau họng,ho
cảm lạnh,mệt mỏi,đau họng,ho,nghẹt mũi
cảm lạnh,mệt mỏi,đau họng,nghẹt mũi,ho
viêm phổi,khó thở,đau ngực,ho,sốt
viêm phổi,khó thở,đau ngực,sốt,ho
viêm phổi,ho,sốt,buồn nôn,khó thở
viêm phổi,ho,sốt,khó thở,buồn nôn
viêm phổi,ho,buồn nôn,sốt,khó thở
viêm phổi,ho,buồn nôn,khó thở,sốt
viêm phổi,ho,khó thở,sốt,buồn nôn
viêm phổi,ho,khó thở,buồn nôn,sốt
viêm phổi,sốt,ho,buồn nôn,khó thở
viêm phổi,sốt,ho,khó thở,buồn nôn
viêm phổi,sốt,buồn nôn,ho,khó thở
covid-19,đau đầu,mệt mỏi,khan tiếng,sốt
covid-19,đau đầu,mệt mỏi,sốt,khan tiếng
covid-19,khan tiếng,sốt,mệt mỏi,khó thở
covid-19,khan tiếng,sốt,khó thở,mệt mỏi
covid-19,khan tiếng,mệt mỏi,sốt,khó thở
covid-19,khan tiếng,mệt mỏi,khó thở,sốt
covid-19,khan tiếng,khó thở,sốt,mệt mỏi
covid-19,khan tiếng,khó thở,mệt mỏi,sốt
covid-19,sốt,khan tiếng,mệt mỏi,khó thở
covid-19,sốt,khan tiếng,khó thở,mệt mỏi
covid-19,sốt,mệt mỏi,khan tiếng,khó thở
covid-19,sốt,mệt mỏi,khó thở,khan tiếng
covid-19,sốt,khó thở,khan tiếng,mệt mỏi
covid-19,sốt,khó thở,mệt mỏi,khan tiếng
covid-19,mệt mỏi,khan tiếng,sốt,khó thở
covid-19,mệt mỏi,khan tiếng,khó thở,sốt
covid-19,mệt mỏi,sốt,khan tiếng,khó thở
covid-19,mệt mỏi,sốt,khó thở,khan tiếng
covid-19,mệt mỏi,khó thở,khan tiếng,sốt
covid-19,mệt mỏi,khó thở,sốt,khan tiếng
covid-19,khó thở,khan tiếng,sốt,mệt mỏi
covid-19,khó thở,khan tiếng,mệt mỏi,sốt
covid-19,khó thở,sốt,khan tiếng,mệt mỏi
covid-19,khó thở,sốt,mệt mỏi,khan tiếng
covid-19,khó thở,mệt mỏi,khan tiếng,sốt
covid-19,khó thở,mệt mỏi,sốt,khan tiếng
covid-19,khan tiếng,sốt,đau đầu,khó thở
covid-19,khan tiếng,sốt,khó thở,đau đầu
covid-19,khan tiếng,đau đầu,sốt,khó thở
covid-19,khan tiếng,đau đầu,khó thở,sốt
covid-19,khan tiếng,khó thở,sốt,đau đầu
vảy nến,mụn mủ,da bị lở,vảy bạc,sưng khớp
vảy nến,mụn mủ,da bị lở,sưng khớp,vảy bạc
vảy nến,mụn mủ,sưng khớp,vảy bạc,da bị lở
vảy nến,mụn mủ,sưng khớp,da bị lở,vảy bạc
vảy nến,da bị lở,vảy bạc,mụn mủ,sưng khớp
vảy nến,da bị lở,vảy bạc,sưng khớp,mụn mủ
vảy nến,da bị lở,mụn mủ,vảy bạc,sưng khớp
vảy nến,da bị lở,mụn mủ,sưng khớp,vảy bạc
vảy nến,da bị lở,sưng khớp,vảy bạc,mụn mủ
vảy nến,da bị lở,sưng khớp,mụn mủ,vảy bạc
vảy nến,sưng khớp,vảy bạc,mụn mủ,da bị lở
nhiễm trùng đường tiết niệu,đi tiểu nhiều lần,tiểu rát,tiểu buốt,nước tiểu sẫm màu
nhiễm trùng đường tiết niệu,đi tiểu nhiều lần,tiểu rát,nước tiểu sẫm màu,tiểu buốt
nhiễm trùng đường tiết niệu,đi tiểu nhiều lần,nước tiểu sẫm màu,tiểu buốt,tiểu rát
nhiễm trùng đường tiết niệu,đi tiểu nhiều lần,nước tiểu sẫm màu,tiểu rát,tiểu buốt
nhiễm trùng đường tiết niệu,tiểu rát,tiểu buốt,đi tiểu nhiều lần,nước tiểu sẫm màu
nhiễm trùng đường tiết niệu,tiểu rát,tiểu buốt,nước tiểu sẫm màu,đi tiểu nhiều lần
nhiễm trùng đường tiết niệu,tiểu rát,đi tiểu nhiều lần,tiểu buốt,nước tiểu sẫm màu
nhiễm trùng đường tiết niệu,tiểu rát,đi tiểu nhiều lần,nước tiểu sẫm màu,tiểu buốt
nhiễm trùng đường tiết niệu,tiểu rát,nước tiểu sẫm màu,tiểu buốt,đi tiểu nhiều lần
nhiễm trùng đường tiết niệu,tiểu rát,nước tiểu sẫm màu,đi tiểu nhiều lần,tiểu buốt
nhiễm trùng đường tiết niệu,nước tiểu sẫm màu,tiểu buốt,đi tiểu nhiều lần,tiểu rát
chóng mặt kịch phát lành tính,buồn nôn,mất thăng bằng,đứng không vững,chóng mặt
chóng mặt kịch phát lành tính,buồn nôn,đứng không vững,chóng mặt,mất thăng bằng
chóng mặt kịch phát lành tính,buồn nôn,đứng không vững,mất thăng bằng,chóng mặt
chóng mặt kịch phát lành tính,mất thăng bằng,chóng mặt,buồn nôn,đứng không vững
chóng mặt kịch phát lành tính,mất thăng bằng,chóng mặt,đứng không vững,buồn nôn
chóng mặt kịch phát lành tính,mất thăng bằng,buồn nôn,chóng mặt,đứng không vững
chóng mặt kịch phát lành tính,mất thăng bằng,buồn nôn,đứng không vững,chóng mặt
chóng mặt kịch phát lành tính,mất thăng bằng,đứng không vững,chóng mặt,buồn nôn
chóng mặt kịch phát lành tính,mất thăng bằng,đứng không vững,buồn nôn,chóng mặt
chóng mặt kịch phát lành tính,đứng không vững,chóng mặt,buồn nôn,mất thăng bằng
chóng mặt kịch phát lành tính,đứng không vững,chóng mặt,mất thăng bằng,buồn nôn
viêm khớp,đau khớp,đau khi di chuyển,cứng khớp,khó chịu
viêm khớp,đau khớp,đau khi di chuyển,khó chịu,cứng khớp
viêm khớp,đau khớp,khó chịu,cứng khớp,đau khi di chuyển
viêm khớp,đau khớp,khó chịu,đau khi di chuyển,cứng khớp
viêm khớp,đau khi di chuyển,cứng khớp,đau khớp,khó chịu
viêm khớp,đau khi di chuyển,cứng khớp,khó chịu,đau khớp
viêm khớp,đau khi di chuyển,đau khớp,cứng khớp,khó chịu
viêm khớp,đau khi di chuyển,đau khớp,khó chịu,cứng khớp
viêm khớp,đau khi di chuyển,khó chịu,cứng khớp,đau khớp
viêm khớp,đau khi di chuyển,khó chịu,đau khớp,cứng khớp
viêm khớp,khó chịu,cứng khớp,đau khớp,đau khi di chuyển
hạ đường huyết,tim đập nhanh,đổ mồ hôi,lo lắng,nói lắp
hạ đường huyết,tim đập nhanh,đổ mồ hôi,nói lắp,lo lắng
hạ đường huyết,tim đập nhanh,lo lắng,đổ mồ hôi,nói lắp
hạ đường huyết,tim đập nhanh,lo lắng,nói lắp,đổ mồ hôi
hạ đường huyết,tim đập nhanh,nói lắp,đổ mồ hôi,lo lắng
hạ đường huyết,tim đập nhanh,nói lắp,lo lắng,đổ mồ hôi
hạ đường huyết,đổ mồ hôi,tim đập nhanh,lo lắng,nói lắp
hạ đường huyết,đổ mồ hôi,tim đập nhanh,nói lắp,lo lắng
hạ đường huyết,đổ mồ hôi,lo lắng,tim đập nhanh,nói lắp
hạ đường huyết,đổ mồ hôi,lo lắng,nói lắp,tim đập nhanh
hạ đường huyết,đổ mồ hôi,nói lắp,tim đập nhanh,lo lắng
hạ đường huyết,đổ mồ hôi,nói lắp,lo lắng,tim đập nhanh
hạ đường huyết,lo lắng,tim đập nhanh,đổ mồ hôi,nói lắp
hạ đường huyết,lo lắng,tim đập nhanh,nói lắp,đổ mồ hôi
hạ đường huyết,lo lắng,đổ mồ hôi,tim đập nhanh,nói lắp
hạ đường huyết,lo lắng,đổ mồ hôi,nói lắp,tim đập nhanh
hạ đường huyết,lo lắng,nói lắp,tim đập nhanh,đổ mồ hôi
hạ đường huyết,lo lắng,nói lắp,đổ mồ hôi,tim đập nhanh
hạ đường huyết,nói lắp,tim đập nhanh,đổ mồ hôi,lo lắng
hạ đường huyết,nói lắp,tim đập nhanh,lo lắng,đổ mồ hôi
hạ đường huyết,nói lắp,đổ mồ hôi,tim đập nhanh,lo lắng
hạ đường huyết,nói lắp,đổ mồ hôi,lo lắng,tim đập nhanh
hạ đường huyết,nói lắp,lo lắng,tim đập nhanh,đổ mồ hôi
hạ đường huyết,nói lắp,lo lắng,đổ mồ hôi,tim đập nhanh
thoái hóa đốt sống cổ,đau cơ,cứng cổ,mất cảm giác tay,vận động vùng cổ gặp khó khăn
thoái hóa đốt sống cổ,đau cơ,cứng cổ,vận động vùng cổ gặp khó khăn,mất cảm giác tay
viêm tai giữa,đau tai,đau đầu,ù tai,chảy dịch từ tai
viêm tai giữa,đau tai,đau đầu,chảy dịch từ tai,ù tai
viêm tai giữa,chảy dịch từ tai,ù tai,đau tai,đau đầu
viêm tai giữa,chảy dịch từ tai,ù tai,đau đầu,đau tai
viêm tai giữa,chảy dịch từ tai,đau tai,ù tai,đau đầu
viêm tai giữa,chảy dịch từ tai,đau tai,đau đầu,ù tai
viêm tai giữa,chảy dịch từ tai,đau đầu,ù tai,đau tai
viêm tai giữa,chảy dịch từ tai,đau đầu,đau tai,ù tai
viêm tai giữa,đau đầu,ù tai,đau tai,chảy dịch từ tai
viêm tai giữa,đau đầu,ù tai,chảy dịch từ tai,đau tai
viêm tai giữa,đau đầu,đau tai,ù tai,chảy dịch từ tai
giãn tĩnh mạch,sưng tay chân,tê chân,mỏi tay chân,đau khi đi lại nhiều
giãn tĩnh mạch,sưng tay chân,tê chân,đau khi đi lại nhiều,mỏi tay chân
giãn tĩnh mạch,sưng tay chân,đau khi đi lại nhiều,mỏi tay chân,tê chân
giãn tĩnh mạch,sưng tay chân,đau khi đi lại nhiều,tê chân,mỏi tay chân
giãn tĩnh mạch,tê chân,mỏi tay chân,sưng tay chân,đau khi đi lại nhiều
giãn tĩnh mạch,tê chân,mỏi tay chân,đau khi đi lại nhiều,sưng tay chân
giãn tĩnh mạch,tê chân,sưng tay chân,mỏi tay chân,đau khi đi lại nhiều
giãn tĩnh mạch,tê chân,sưng tay chân,đau khi đi lại nhiều,mỏi tay chân
giãn tĩnh mạch,tê chân,đau khi đi lại nhiều,mỏi tay chân,sưng tay chân
giãn tĩnh mạch,tê chân,đau khi đi lại nhiều,sưng tay chân,mỏi tay chân
giãn tĩnh mạch,đau khi đi lại nhiều,mỏi tay chân,sưng tay chân,tê chân
viêm da dị ứng,ngứa,khô da,nứt nẻ,mụn mủ
viêm da dị ứng,ngứa,khô da,mụn mủ,nứt nẻ
chốc,mệt mỏi,phát ban,mụn mủ,sốt
chốc,mệt mỏi,mụn mủ,sốt,phát ban
chốc,mệt mỏi,mụn mủ,phát ban,sốt
chốc,phát ban,sốt,mệt mỏi,mụn mủ
chốc,phát ban,sốt,mụn mủ,mệt mỏi
chốc,phát ban,mệt mỏi,sốt,mụn mủ
chốc,phát ban,mệt mỏi,mụn mủ,sốt
chốc,phát ban,mụn mủ,sốt,mệt mỏi
chốc,phát ban,mụn mủ,mệt mỏi,sốt
chốc,mụn mủ,sốt,mệt mỏi,phát ban
chốc,mụn mủ,sốt,phát ban,mệt mỏi
suy giáp,chán ăn,táo bón,khàn giọng,da khô
suy giáp,chán ăn,táo bón,da khô,khàn giọng
suy giáp,chán ăn,khàn giọng,táo bón,da khô
suy giáp,chán ăn,khàn giọng,da khô,táo bón
suy giáp,chán ăn,da khô,táo bón,khàn giọng
suy giáp,chán ăn,da khô,khàn giọng,táo bón
suy giáp,táo bón,chán ăn,khàn giọng,da khô
suy giáp,táo bón,chán ăn,da khô,khàn giọng
suy giáp,táo bón,khàn giọng,chán ăn,da khô
suy giáp,táo bón,khàn giọng,da khô,chán ăn
suy giáp,táo bón,da khô,chán ăn,khàn giọng
suy giáp,táo bón,da khô,khàn giọng,chán ăn
suy giáp,khàn giọng,chán ăn,táo bón,da khô
suy giáp,khàn giọng,chán ăn,da khô,táo bón
suy giáp,khàn giọng,táo bón,chán ăn,da khô
suy giáp,khàn giọng,táo bón,da khô,chán ăn
suy giáp,khàn giọng,da khô,chán ăn,táo bón
suy giáp,khàn giọng,da khô,táo bón,chán ăn
suy giáp,da khô,chán ăn,táo bón,khàn giọng
suy giáp,da khô,chán ăn,khàn giọng,táo bón
suy giáp,da khô,táo bón,chán ăn,khàn giọng
suy giáp,da khô,táo bón,khàn giọng,chán ăn
suy giáp,da khô,khàn giọng,chán ăn,táo bón
suy giáp,da khô,khàn giọng,táo bón,chán ăn
cường giáp,tim đập nhanh,sút cân,run đầu ngón tay,yếu cơ
cường giáp,tim đập nhanh,sút cân,yếu cơ,run đầu ngón tay
cường giáp,tim đập nhanh,run đầu ngón tay,sút cân,yếu cơ
cường giáp,tim đập nhanh,run đầu ngón tay,yếu cơ,sút cân
cường giáp,tim đập nhanh,yếu cơ,sút cân,run đầu ngón tay
cường giáp,tim đập nhanh,yếu cơ,run đầu ngón tay,sút cân
cường giáp,sút cân,tim đập nhanh,run đầu ngón tay,yếu cơ
cường giáp,sút cân,tim đập nhanh,yếu cơ,run đầu ngón tay
cường giáp,sút cân,run đầu ngón tay,tim đập nhanh,yếu cơ
cường giáp,sút cân,run đầu ngón tay,yếu cơ,tim đập nhanh
cường giáp,sút cân,yếu cơ,tim đập nhanh,run đầu ngón tay
cường giáp,sút cân,yếu cơ,run đầu ngón tay,tim đập nhanh
cường giáp,run đầu ngón tay,tim đập nhanh,sút cân,yếu cơ
cường giáp,run đầu ngón tay,tim đập nhanh,yếu cơ,sút cân
cường giáp,run đầu ngón tay,sút cân,tim đập nhanh,yếu cơ
cường giáp,run đầu ngón tay,sút cân,yếu cơ,tim đập nhanh
cường giáp,run đầu ngón tay,yếu cơ,tim đập nhanh,sút cân
cường giáp,run đầu ngón tay,yếu cơ,sút cân,tim đập nhanh
cường giáp,yếu cơ,tim đập nhanh,sút cân,run đầu ngón tay
cường giáp,yếu cơ,tim đập nhanh,run đầu ngón tay,sút cân
cường giáp,yếu cơ,sút cân,tim đập nhanh,run đầu ngón tay
cường giáp,yếu cơ,sút cân,run đầu ngón tay,tim đập nhanh
cường giáp,yếu cơ,run đầu ngón tay,tim đập nhanh,sút cân
cường giáp,yếu cơ,run đầu ngón tay,sút cân,tim đập nhanh
viêm gan do rượu,buồn nôn,sút cân,vàng mắt,vàng da
viêm gan do rượu,buồn nôn,sút cân,vàng da,vàng mắt
viêm gan do rượu,buồn nôn,vàng mắt,sút cân,vàng da
viêm gan do rượu,buồn nôn,vàng mắt,vàng da,sút cân
viêm gan do rượu,buồn nôn,vàng da,sút cân,vàng mắt
viêm gan do rượu,buồn nôn,vàng da,vàng mắt,sút cân
viêm gan do rượu,sút cân,buồn nôn,vàng mắt,vàng da
viêm gan do rượu,sút cân,buồn nôn,vàng da,vàng mắt
viêm gan do rượu,sút cân,vàng mắt,buồn nôn,vàng da
viêm gan do rượu,sút cân,vàng mắt,vàng da,buồn nôn
viêm gan do rượu,sút cân,vàng da,buồn nôn,vàng mắt
viêm gan do rượu,sút cân,vàng da,vàng mắt,buồn nôn
viêm gan do rượu,vàng mắt,buồn nôn,sút cân,vàng da
viêm gan do rượu,vàng mắt,buồn nôn,vàng da,sút cân
viêm gan do rượu,vàng mắt,sút cân,buồn nôn,vàng da
viêm gan do rượu,vàng mắt,sút cân,vàng da,buồn nôn
viêm gan do rượu,vàng mắt,vàng da,buồn nôn,sút cân
viêm gan do rượu,vàng mắt,vàng da,sút cân,buồn nôn
viêm gan do rượu,vàng da,buồn nôn,sút cân,vàng mắt
viêm gan do rượu,vàng da,buồn nôn,vàng mắt,sút cân
viêm gan do rượu,vàng da,sút cân,buồn nôn,vàng mắt
viêm gan do rượu,vàng da,sút cân,vàng mắt,buồn nôn
viêm gan do rượu,vàng da,vàng mắt,buồn nôn,sút cân
viêm gan do rượu,vàng da,vàng mắt,sút cân,buồn nôn
viêm gan B,nước tiểu sẫm màu,sốt,buồn nôn,đau khớp
viêm gan B,nước tiểu sẫm màu,sốt,đau khớp,buồn nôn
viêm gan B,nước tiểu sẫm màu,buồn nôn,sốt,đau khớp
viêm gan B,nước tiểu sẫm màu,buồn nôn,đau khớp,sốt
viêm gan B,nước tiểu sẫm màu,đau khớp,sốt,buồn nôn
viêm gan B,nước tiểu sẫm màu,đau khớp,buồn nôn,sốt
viêm gan B,sốt,nước tiểu sẫm màu,buồn nôn,đau khớp
viêm gan B,sốt,nước tiểu sẫm màu,đau khớp,buồn nôn
viêm gan B,sốt,buồn nôn,nước tiểu sẫm màu,đau khớp
viêm gan B,sốt,buồn nôn,đau khớp,nước tiểu sẫm màu
viêm gan B,sốt,đau khớp,nước tiểu sẫm màu,buồn nôn
viêm gan B,sốt,đau khớp,buồn nôn,nước tiểu sẫm màu
viêm gan B,buồn nôn,nước tiểu sẫm màu,sốt,đau khớp
viêm gan B,buồn nôn,nước tiểu sẫm màu,đau khớp,sốt
viêm gan B,buồn nôn,sốt,nước tiểu sẫm màu,đau khớp
viêm gan B,buồn nôn,sốt,đau khớp,nước tiểu sẫm màu
viêm gan B,buồn nôn,đau khớp,nước tiểu sẫm màu,sốt
viêm gan B,buồn nôn,đau khớp,sốt,nước tiểu sẫm màu
viêm gan B,đau khớp,nước tiểu sẫm màu,sốt,buồn nôn
viêm gan B,đau khớp,nước tiểu sẫm màu,buồn nôn,sốt
viêm gan B,đau khớp,sốt,nước tiểu sẫm màu,buồn nôn
viêm gan B,đau khớp,sốt,buồn nôn,nước tiểu sẫm màu
viêm gan B,đau khớp,buồn nôn,nước tiểu sẫm màu,sốt
viêm gan B,đau khớp,buồn nôn,sốt,nước tiểu sẫm màu
viêm gan C,nước tiểu sẫm màu,sốt nhẹ,đau bụng trên bên phải,vàng da
viêm gan C,nước tiểu sẫm màu,sốt nhẹ,vàng da,đau bụng trên bên phải
viêm gan C,nước tiểu sẫm màu,đau bụng trên bên phải,sốt nhẹ,vàng da
viêm gan C,nước tiểu sẫm màu,đau bụng trên bên phải,vàng da,sốt nhẹ
viêm gan C,nước tiểu sẫm màu,vàng da,sốt nhẹ,đau bụng trên bên phải
viêm gan C,nước tiểu sẫm màu,vàng da,đau bụng trên bên phải,sốt nhẹ
viêm gan C,sốt nhẹ,nước tiểu sẫm màu,đau bụng trên bên phải,vàng da
viêm gan C,sốt nhẹ,nước tiểu sẫm màu,vàng da,đau bụng trên bên phải
viêm gan C,sốt nhẹ,đau bụng trên bên phải,nước tiểu sẫm màu,vàng da
viêm gan C,sốt nhẹ,đau bụng trên bên phải,vàng da,nước tiểu sẫm màu
viêm gan C,sốt nhẹ,vàng da,nước tiểu sẫm màu,đau bụng trên bên phải
viêm gan C,sốt nhẹ,vàng da,đau bụng trên bên phải,nước tiểu sẫm màu
viêm gan C,đau bụng trên bên phải,nước tiểu sẫm màu,sốt nhẹ,vàng da
viêm gan C,đau bụng trên bên phải,nước tiểu sẫm màu,vàng da,sốt nhẹ
viêm gan C,đau bụng trên bên phải,sốt nhẹ,nước tiểu sẫm màu,vàng da
viêm gan C,đau bụng trên bên phải,sốt nhẹ,vàng da,nước tiểu sẫm màu
viêm gan C,đau bụng trên bên phải,vàng da,nước tiểu sẫm màu,sốt nhẹ
viêm gan C,đau bụng trên bên phải,vàng da,sốt nhẹ,nước tiểu sẫm màu
viêm gan C,vàng da,nước tiểu sẫm màu,sốt nhẹ,đau bụng trên bên phải
viêm gan C,vàng da,nước tiểu sẫm màu,đau bụng trên bên phải,sốt nhẹ
viêm gan C,vàng da,sốt nhẹ,nước tiểu sẫm màu,đau bụng trên bên phải
viêm gan C,vàng da,sốt nhẹ,đau bụng trên bên phải,nước tiểu sẫm màu
viêm gan C,vàng da,đau bụng trên bên phải,nước tiểu sẫm màu,sốt nhẹ
viêm gan C,vàng da,đau bụng trên bên phải,sốt nhẹ,nước tiểu sẫm màu
say nắng,buồn nôn,chóng mặt,hoa mắt,tim đập nhanh
say nắng,buồn nôn,hoa mắt,tim đập nhanh,chóng mặt
say nắng,buồn nôn,hoa mắt,chóng mặt,tim đập nhanh
say nắng,chóng mặt,tim đập nhanh,buồn nôn,hoa mắt
say nắng,chóng mặt,tim đập nhanh,hoa mắt,buồn nôn
say nắng,chóng mặt,buồn nôn,tim đập nhanh,hoa mắt
say nắng,chóng mặt,buồn nôn,hoa mắt,tim đập nhanh
say nắng,chóng mặt,hoa mắt,tim đập nhanh,buồn nôn
say nắng,chóng mặt,hoa mắt,buồn nôn,tim đập nhanh
say nắng,hoa mắt,tim đập nhanh,buồn nôn,chóng mặt
say nắng,hoa mắt,tim đập nhanh,chóng mặt,buồn nôn
đau vai gáy,tê tay,đau cổ,mỏi tay,đau khi di chuyển
đau vai gáy,tê tay,đau cổ,đau khi di chuyển,mỏi tay
chàm,mẩn đỏ,nổi mụt trên cơ thể,ngứa,da khô
chàm,mẩn đỏ,nổi mụt trên cơ thể,da khô,ngứa
viêm nướu,nướu đỏ,chảy máu ở chân răng,sưng nướu,đau khi nhai
viêm nướu,nướu đỏ,chảy máu ở chân răng,đau khi nhai,sưng nướu
viêm nướu,nướu đỏ,sưng nướu,chảy máu ở chân răng,đau khi nhai
viêm nướu,nướu đỏ,sưng nướu,đau khi nhai,chảy máu ở chân răng
viêm nướu,nướu đỏ,đau khi nhai,chảy máu ở chân răng,sưng nướu
viêm nướu,nướu đỏ,đau khi nhai,sưng nướu,chảy máu ở chân răng
viêm nướu,chảy máu ở chân răng,nướu đỏ,sưng nướu,đau khi nhai
viêm nướu,chảy máu ở chân răng,nướu đỏ,đau khi nhai,sưng nướu
viêm nướu,chảy máu ở chân răng,sưng nướu,nướu đỏ,đau khi nhai
viêm nướu,chảy máu ở chân răng,sưng nướu,đau khi nhai,nướu đỏ
viêm nướu,chảy máu ở chân răng,đau khi nhai,nướu đỏ,sưng nướu
viêm nướu,chảy máu ở chân răng,đau khi nhai,sưng nướu,nướu đỏ
viêm nướu,sưng nướu,nướu đỏ,chảy máu ở chân răng,đau khi nhai
viêm nướu,sưng nướu,nướu đỏ,đau khi nhai,chảy máu ở chân răng
viêm nướu,sưng nướu,chảy máu ở chân răng,nướu đỏ,đau khi nhai
viêm nướu,sưng nướu,chảy máu ở chân răng,đau khi nhai,nướu đỏ
viêm nướu,sưng nướu,đau khi nhai,nướu đỏ,chảy máu ở chân răng
viêm nướu,sưng nướu,đau khi nhai,chảy máu ở chân răng,nướu đỏ
viêm nướu,đau khi nhai,nướu đỏ,chảy máu ở chân răng,sưng nướu
viêm nướu,đau khi nhai,nướu đỏ,sưng nướu,chảy máu ở chân răng
viêm nướu,đau khi nhai,chảy máu ở chân răng,nướu đỏ,sưng nướu
viêm nướu,đau khi nhai,chảy máu ở chân răng,sưng nướu,nướu đỏ
viêm nướu,đau khi nhai,sưng nướu,nướu đỏ,chảy máu ở chân răng
viêm nướu,đau khi nhai,sưng nướu,chảy máu ở chân răng,nướu đỏ
sâu răng,răng nhạy cảm,sưng nướu,hơi thở có mùi,đau răng
sâu răng,răng nhạy cảm,hơi thở có mùi,đau răng,sưng nướu
sâu răng,răng nhạy cảm,hơi thở có mùi,sưng nướu,đau răng
sâu răng,sưng nướu,đau răng,răng nhạy cảm,hơi thở có mùi
sâu răng,sưng nướu,đau răng,hơi thở có mùi,răng nhạy cảm
sâu răng,sưng nướu,răng nhạy cảm,đau răng,hơi thở có mùi
sâu răng,sưng nướu,răng nhạy cảm,hơi thở có mùi,đau răng
sâu răng,sưng nướu,hơi thở có mùi,đau răng,răng nhạy cảm
sâu răng,sưng nướu,hơi thở có mùi,răng nhạy cảm,đau răng
sâu răng,hơi thở có mùi,đau răng,răng nhạy cảm,sưng nướu
sâu răng,hơi thở có mùi,đau răng,sưng nướu,răng nhạy cảm
ruột kích thích,đau bụng,cảm giác đi tiêu không hết phân,mệt mỏi,táo bón
ruột kích thích,đau bụng,cảm giác đi tiêu không hết phân,táo bón,mệt mỏi
ruột kích thích,đau bụng,mệt mỏi,cảm giác đi tiêu không hết phân,táo bón
ruột kích thích,đau bụng,mệt mỏi,táo bón,cảm giác đi tiêu không hết phân
ruột kích thích,đau bụng,táo bón,cảm giác đi tiêu không hết phân,mệt mỏi
ruột kích thích,đau bụng,táo bón,mệt mỏi,cảm giác đi tiêu không hết phân
ruột kích thích,cảm giác đi tiêu không hết phân,đau bụng,mệt mỏi,táo bón
ruột kích thích,cảm giác đi tiêu không hết phân,đau bụng,táo bón,mệt mỏi
ruột kích thích,cảm giác đi tiêu không hết phân,mệt mỏi,đau bụng,táo bón
ruột kích thích,cảm giác đi tiêu không hết phân,mệt mỏi,táo bón,đau bụng
ruột kích thích,cảm giác đi tiêu không hết phân,táo bón,đau bụng,mệt mỏi
ruột kích thích,cảm giác đi tiêu không hết phân,táo bón,mệt mỏi,đau bụng
ruột kích thích,mệt mỏi,đau bụng,cảm giác đi tiêu không hết phân,táo bón
ruột kích thích,mệt mỏi,đau bụng,táo bón,cảm giác đi tiêu không hết phân
ruột kích thích,mệt mỏi,cảm giác đi tiêu không hết phân,đau bụng,táo bón
ruột kích thích,mệt mỏi,cảm giác đi tiêu không hết phân,táo bón,đau bụng
ruột kích thích,mệt mỏi,táo bón,đau bụng,cảm giác đi tiêu không hết phân
ruột kích thích,mệt mỏi,táo bón,cảm giác đi tiêu không hết phân,đau bụng
ruột kích thích,táo bón,đau bụng,cảm giác đi tiêu không hết phân,mệt mỏi
ruột kích thích,táo bón,đau bụng,mệt mỏi,cảm giác đi tiêu không hết phân
ruột kích thích,táo bón,cảm giác đi tiêu không hết phân,đau bụng,mệt mỏi
ruột kích thích,táo bón,cảm giác đi tiêu không hết phân,mệt mỏi,đau bụng
ruột kích thích,táo bón,mệt mỏi,đau bụng,cảm giác đi tiêu không hết phân
ruột kích thích,táo bón,mệt mỏi,cảm giác đi tiêu không hết phân,đau bụng
đau mắt đỏ,đau mắt,ngứa mắt,sưng mắt,chảy nước mắt
đau mắt đỏ,đau mắt,sưng mắt,chảy nước mắt,ngứa mắt
